locus	gene_name	gene_function	gene_product	synonyms	regulon	operon	sigma_factor	regulator	regulatory_mechanism	regulation_sign	metabolite	metabolite_sign	annotation
BSU27020	yraA	detoxification of methylglyoxal	glyoxalase III-like enzyme	yraA	SinR|AdhR|	yraA	sigB|sigM|	AdhR|	TF+S|	1|	Carbonyl_electrophiles::stress|	1|	general stress protein
new_1884880_1884967	S629		intergenic region	S629
BSU_misc_RNA_2	scr	presecretory protein translocation	"small cytoplasmic RNA (scRNA, 4.5S RNA)"	scr	SigA|	yaaJ-scr	sigA|						"small cytoplasmic RNA (scRNA, 4.5S RNA), signal recognition particle-like (SRP) component"
BSU25090	yqfW	unknown	unknown	yqfW									putative nucleotidase
BSU24630	sipW	biofilm formation	signal peptidase I	sipW|yqhE	YwcC|LutR|	yqxM-sipW-tasA	sigA|	SinR|AbrB|Spo0A|	TF|TF|TF+PP|	-1|-1|1|	nan| @|nan|	nan|nan|nan|	type I signal peptidase
new_3463734_3464253_c	S1292	The antisense RNA of gerD	independent transcript	S1292
BSU17330	miaA	tRNA modification	tRNA isopentenylpyrophosphate transferase	miaA									tRNA isopentenylpyrophosphate transferase
BSU08380	yfiS	unknown	unknown	yfiS	TnrA|								putative efflux transporter
BSU37030	racA		cell division protein	racA|ywkC	SigH|	racA	sigH|	Spo0A|	TF+PP|	1|	nan|	nan|	chromosome-anchoring protein RacA
new_2198766_2198847_c	S779		intergenic region	S779
BSU32660	yurT	detoxification of methylglyoxal	glyoxalase II	glxB|yurT									putative methylglyoxalase
new_3194349_3194635	S1188		3'UTR of yubC	S1188
BSU19680	yozE	unknown	unknown	yozE	SigE|SigE|		sigE|						conserved hypothetical protein
BSU31860	yueB	export of YukE	"part of the type VII protein secretion system, receptor for phage SPPI"	yueB	DegU|								bacteriophage SPP1 receptor
BSU18860	yozH	unknown	unknown	yozH									hypothetical protein
BSU36740	ywmC	unknown	unknown	ywmC									putative exported protein
BSU07120	lplC	unknown	unknown	lplC				CcpA|	TF+PP+M|	NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	putative ABC transporter (permease)
new_3316213_3316329_c	S1246		intergenic region	S1246
new_2563803_2563987_c	S928		intergenic region	S928
BSU07900	yfkH	survival of stress conditions	unknown	yfkH	Xpf|SigB|	yfkJIH	sigB|sigA|						putative integral inner membrane protein with ribonuclease fold
new_516099_516240	S162		5'UTR of ydcC	S162
new_1549384_1549464	S538		5'UTR of ylaK	S538
BSU38720	yxkO	"survival of ethanol  stress, repair of hydrated NAD(P)H"	ADP/ATP-dependent NAD(P)H-hydrate dehydratase	yxkO	SigB|	yxkO	sigB|						putative carbohydrate kinase
BSU15200	murD	peptidoglycan precursor biosynthesis	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase	murD	stringent response|	murE-mraY-murD-spoVE-murG-murB-divIB-ylxWX-sbp							UDP-N-acetylmuramoylalanyl-D-glutamate ligase
new_2432160_2433082	S882	The antisense RNA of ybbF	independent transcript	S882
new_3016299_3016403_c	S1119		5'UTR of ackA	S1119
BSU16010	ylqD	unknown	unknown	ylqD	SigA|								conserved hypothetical protein
BSU28640	pheS	translation	phenylalanyl-tRNA synthetase (alpha subunit)	pheS	T-box|	pheST	sigA|	T-box-PHE|	RNA switch|	1|	tRNAphe|	-1|	phenylalanyl-tRNA synthetase (alpha subunit)
BSU15800	thiN	thiamine salvage	thiamine pyrophosphokinase	yloS|thiN			sigE|						thiamine pyrophosphokinase
BSU02220	ybfI	unknown	unknown	ybfI				*YbfI*|	silico-TF+unk|	NaN|	nan|	nan|	"putative transcriptional regulator (AraC/XylS family, cupin family)"
BSU24190	yqiI	cell wall metabolism	peptidoglycan hydrolase	yqiI	SigA|								putative N-acetylmuramoyl-L-alanine amidase
new_2798008_2799197	S1038	The antisense RNA of rsiW	independent transcript	S1038
BSU11810	spoVIF	required for spore coat assembly and resistance	unknown	spoVIF|yjcC	SigK|	yjcB-yjcZ-spoVIF	sigK|	GerR|GerE|	TF|TF|	1|1|	 @| @|	nan|nan|	sporulation-specific protein needed for heat resistance
BSU22980	ypbG	unknown	unknown	ypbG	SigM|		sigM|sigK|sigE|	SpoIIID|	TF|	-1|	nan|	nan|	putative phosphoesterase
new_3463251_3463318_c	S1291		5'UTR of opuBA	S1291
new_3622139_3622219_c	S1346		5'UTR of swrAA/2	S1346
BSU37090	ywjI	gluconeogenesis	"class II fructose-1,6-bisphosphatase"	glpX|ywjI									"putative fructose 1,6-bisphosphatase class II"
BSU30050	ytgP	export of lipid II	lipid II flippase	murJ|ytgP									putative enzyme involved in polysaccharide biosynthesis
BSU06990	yesQ	uptake of rhamnose oligosaccharides	rhamnose oligosaccharide ABC transporter	rhiG|yesQ				YesS|CcpA|	TF+P+unk|TF+PP+M|	NaN|NaN|	"unk|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	nan|1 1|	rhamnogalacturonan permease
BSU01700	murQ	cell wall turnover	N-acetyl-muramic acid-6P etherase	murQ|ybbI	MurR|			CodY|*MurR*|	TF+M|silico-TF+M|	NaN|NaN|	GTP isoleucine valine|N-acetylmuramate-6-phosphate|	1 1 1|-1|	D-lactyl ether N-acetylmuramic-6-phosphate acid etherase
BSU11530	coiA	genetic competence	unknown	coiA|yjbF									protein involved in establishment of DNA transport in competence
BSU13840	stoA	"spore cortex formation, maturation of SpoVDin the forespore outer membrane"	thiol-disulfide oxidoreductase	stoA|spoIVH|ykvV	SigG|	ykvUV	sigE|sigG|	SpoIIID|	TF|	-1|	nan|	nan|	thiol-disulfide isomerase
new_235329_235401_c	S82		5'UTR of glpT	S82
BSU08560	yfhJ	unknown	unknown	yfhJ									conserved hypothetical protein
BSU25820	yqcI	unknown	unknown	yqcI			sigK|						conserved hypothetical protein
BSU33920	tpiA	enzyme in glycolysis/ gluconeogenesis	triosephosphate isomerase	tpi|tpiA		cggR-gapA-pgk-tpiA-pgm-eno	sigA|	CggR|	TF+M|	-1|	"D-fructose-1,6-bisphosphate|"	-1|	triose phosphate isomerase
BSU26020	yqbP	unknown	unknown	yqbP									"conserved hypothetical protein, skin element"
new_3860876_3860997_c	S1456		intergenic region	S1456
BSU04700	rsbU	control of [[protein|SigB ]]activity	"protein serine phosphatase, environmental PP2C"	rsbU	MtrB|CcpA|	rsbRSTUVW-sigB-rsbX	sigB|sigA|						"serine phosphatase, controls the activity of the piezosome (stressosome)"
BSU32640	sspG	protection of spore DNA	small acid-soluble spore protein (minor)	sspG	SigK|	sspG-yurS	sigK|sigE|	GerE|	TF|	1|	 @|	nan|	small acid-soluble spore protein
BSU10300	aprE	protein degradation	extracellular alkaline serine protease (subtilisin E)	aprE|sprE	DnaA|MtrB|ScoC|	aprE	sigA|	SinR|scoC|AbrB|TenA|DegU|	TF|TF|TF|unk|TF-TC|	-1|-1|-1|1|1|	nan| @| @|unk|unk|	nan|nan|nan|-1|-1|	serine alkaline protease (subtilisin E)
BSU06600	pcrB	unknown	heptaprenylglyceryl phosphate synthase	pcrB|yerE	SigV|LexA|	pcrBA-ligA-yerH		LexA|	TF-proteolyse|	-1|	DNA_Damage|	1|	(S)-3-O-geranylgeranylglyceryl phosphate synthase
BSU31560	yufP	uptake of guanosine	ABC transporter for guanosine	nupP|yufP				CodY|	TF+M|	-1|	GTP isoleucine valine|	1 1 1|	putative permease of ABC transporter
BSU24940	yqzC	control of CwlO activity in peptidoglycan elongation	cofactor of the FtsE-FtsX complex	sweC|yqzC	Spo0A|			Spo0A|	TF+PP|	-1|	nan|	nan|	conserved hypothetical protein
new_3466157_3466342_c	S1296	The antisense RNA of ybcL	3'UTR of sdpI	S1296
new_52649_52719	S29		5'UTR of veg	S29
BSU12671	xkdN	unknown	unknown	xkdN	Xpf|								"conserved hypothetical protein, putative PBSX prophage"
BSU19650	yodM	phospholipid biosynthesis	phosphatidylglycerol phosphate (PGP) phosphatase	yodM									putative phospholipid phosphatase
BSU21090	yonH	unknown	unknown	yonH									"putative capsid protein, phage SPbeta"
BSU21140	yonC	unknown	unknown	yonC									"conserved hypothetical protein, phage SPbeta"
BSU_misc_RNA_39	X.30			BSU_misc_RNA_39									T-box
BSU05580	ydgC	unknown	unknown	ydgC									putative transcriptional regulator
new_2840767_2840964_c	S1052		independent transcript	S1052
BSU34780	yvcI	initiation of RNA degradation	RNA pyrophosphohydrolase	yvcI	CcpA|			CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	putative triphosphate pyrophosphate hydrolase
BSU06170	ydjE	utilization of sucrose and glucitol	fructokinase	fruC|ydjE		ydjE							putative sugar kinase (ribokinase family)
BSU15060	ylbM	acetylation of elongator tRNA<sup>Met</sup>	tRNA<sup>Met</sup> cytidine acetate ligase	tmcAL|ylbM									conserved hypothetical protein
new_925460_925632	S288		5'UTR of recX	S288
BSU35020	nagBA	N-acetylglucosamine utilization	glucosamine-6-phosphate deaminase	nagB		Op219	sigA|	NagR|CcpA|	TF+M|TF+PP+M|	-1|-1|	"N-Acetyl-D-glucosamine-6-phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1 1|	N-acetylglucosamine-6-phosphate isomerase
BSU31330	yugN	unknown	unknown	yugN									conserved hypothetical protein
BSU18380	iseA	protection against cell envelope stress	inhibitor of autolysins	iseA|yoeB	WalR|			WalR|	TF-TC|	-1|	unk|	-1|	inhibitor of cell-separation enzymes
BSU01290	rpsNA	translation	ribosomal protein S14	rpsN				stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein S14
BSU11180	yitZ	unknown	unknown	yitZ									putative transport protein
BSU35239	swrAA.1	essential for swarming differentiation on solid surfaces	swarming motility protein	swrAA/2									"swarming motility protein, N-terminal part of swrAA"
new_2596439_2596534	S945		intergenic region	S945
new_238449_238569_c	S84		5'UTR of ybfE	S84
BSU01440	rplQ	translation	ribosomal protein L17 (BL15)	rplQ	SknR|stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein L17 (BL15)
BSU34230	epsN	"[[category|SW 4.1.2]], biosynthesis of N,N'-diacetylbacillosamine"	"UDP-2,6-dideoxy 2-acetamido 4-keto glucose aminotransferase"	epsN|yvfE	EAR riboswitch|	epsABCDEFGHIJKLMNO	sigA|sigH|	SinR|EAR|AbrB|	TF|RNA-anti antiterminator|TF|	-1|NaN|-1|	nan|unk| @|	nan|nan|nan|	putative aminotransferase
new_593206_593301_c	S188		5'UTR of nap	S188
new_2070120_2070243_c	S719		intergenic region	S719
BSU16070	ylqG	unknown	unknown	ylqG	SigE|SwrA|SigD|								putative glycosyltransferase
new_3707708_3707818	S1383		intergenic region	S1383
BSU31990	dhbC	biosynthesis of the siderophore bacillibactin	isochorismate synthase	dhbC	Fur|	dhbACEBF	sigA|	Fur|AbrB|	TF+M|TF|	-1|-1|	Iron| @|	1|nan|	isochorismate synthase
BSU35080	yvmB	control of pulcherriminic acid biosynthesis	transcription factor ([SW|MarR family])	pchR|yzhA|yvmB				CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	putative transcriptional regulator
BSU17267	ymzE	unknown	unknown	ymzE/2									"conserved hypothetical protein, C-terminal part of YmzE"
BSU24950	pstBB	high-affinity phosphate uptake	phosphate ABC transporter (ATP-binding protein)	pstBB|pstB|yqgK|yzmF	PhoP|			PhoP|	TF-TC|	1|	phosphate|	-1|	phosphate ABC transporter (ATP-binding protein)
new_3809370_3809496_c	S1439		5'UTR of fbaA	S1439
new_1008553_1008622	S324		intergenic region	S324
BSU11420	trpS	translation	tryptophanyl-tRNA synthetase	trpS		trpS		T-box-TRP|	RNA switch|	1|	tRNAtrp|	-1|	tryptophanyl-tRNA synthetase
BSU15090	ylbO	spore coat formation and resistance of spores to lysozyme	unknown	gerR|ylbO			sigE|	SpoIIID|	TF|	1|	nan|	nan|	DNA-binding regulator
BSU06020	groES	protein folding and re-folding	chaperonin	groES	SigA|	groESL	sigA|	HrcA|	TF+HrcA unstability|	-1|	 @|	nan|	chaperonin small subunit
new_2309648_2309785_c	S830		5'UTR of ypeP	S830
new_196132_196212	S68		5'UTR of cdaA	S68
BSU26990	yraD	unknown	unknown	yraD	SigG|	yraGF-adhB-yraED	sigG|						putative spore coat protein
BSU00150	dgk	purine salvage and interconversion	deoxyguanosine kinase	dgk|yaaG		Op135							deoxyguanosine kinase
BSU06430	purK	purine biosynthesis	phosphoribosylaminoimidazole carboxylase (ATP-dependent)	purK	DegU|G-box|	purEKBCSQLFMNHD	sigA|	PurR|G-box-HXTX|G-box-GUA|	TF+M|riboswitch|riboswitch|	-1|1|1|	PRPP|Hypoxanthine|Guanine|	-1|-1|-1|	"phosphoribosylaminoimidazole carboxylase, ATPase subunit"
BSU39290	yxxD	inhibition of the cytotoxic activity of YxiD	antitoxin	yxxD									conserved hypothetical protein
BSU02700	estA	lipid degradation	extracellular lipase	lip|lipA				AbrB|SpoIIID|	TF|TF|	-1|1|	 @|nan|	nan|nan|	secreted alkaliphilic lipase
BSU28890	yscB	unknown	unknown	yscB	AbrB|	yscB	sigD|	AbrB|	TF|	-1|	 @|	nan|	putative lipoprotein
BSU39840	yxbG	unknown	unknown	yxbG|yxaU	SigB|		sigB|						putative oxidoreductase
BSU29290	ytnL	utilization of S-methyl-cysteine	sulphur compound N-deacetylase	sndA|hipO|ytnL		ytmIJKLMNO-ytnIJ-ribR-ytnLM	sigA|	YtlI|CymR|Spx|	TF+M|TF+P+M|TF+S|	1|-1|-1|	unk|O-acetyl-L-serine|Thiol_specific_oxidative_stress::stress|	1|-1|1|	putative aminohydrolase
BSU22170	ypsC	rRNA modification	23S rRNA methyltransferase	ypsC									putative methylase with RNA interaction domain
new_3294170_3294254_c	S1231		5'UTR of yuiH	S1231
new_2605598_2605729_c	S955		5'UTR of ccpN	S955
BSU20960	yopA	unknown	unknown	yopA									"putative methyltransferase, phage SPbeta"
BSU28440	sdhA	TCA cycle	succinate dehydrogenase (flavoprotein subunit)	sdhA|citF	FsrA|	sdhCAB	sigA|	Fsra|CcpA|	small regulatory RNA|TF+PP+M|	-1|-1|	"@|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	nan|1 1|	succinate dehydrogenase (flavoprotein subunit)
new_3965134_3966683_c	S1482	The antisense RNA of psd	3'UTR of yxlG	S1482
BSU33540	yvaB	resistance to 2-methylhydroquinone	azoreductase	azoR2|yvaB		yvaB	sigG|	MhqR|SpoVT|	TF+M|TF|	-1|-1|	Methylglyoxal::stress|nan|	-1|nan|	NADH:dichloroindophenol oxidoreductase
new_3608843_3609333_c	S1340	The antisense RNA of ybfO	5'UTR of yvlA	S1340
new_4167624_4168153	S1562	The antisense RNA of ybfP	intergenic region	S1562
new_3388009_3388287_c	S1272	The antisense RNA of S89	5'UTR of yirB	S1272
BSU01100	rpsL	translation	ribosomal protein S12 (BS12)	rpsL|strA|fun	SigY|stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein S12 (BS12)
BSU06000	ydiK	unknown	unknown	ydiK									conserved hypothetical protein
BSU07440	yfmK	"acetylation of the histone-like protein HBsu, regulation of nucleoid compaction"	Nε-lysine acetyltransferase	yfmK									putative acetyltransferase
BSU37570	mmr	resistance to methylenomycin A	methylenomycin A resistance protein	mmr									toxic compound efflux transporter
new_756987_757065	S246		intergenic region	S246
new_3907315_3907453_c	S1467		5'UTR of ywcI	S1467
BSU25300	cdd	pyrimidine interconversion	cytidine deaminase	cdd	SigB|	cdd-era	sigB|sigA|	Spo0A|	TF+PP|	1|	nan|	nan|	cytidine/deoxycytidine deaminase
BSU06700	yerO	unknown	unknown	yerO									putative transcriptional regulator (TetR/AcrR family)
new_676139_676441	S222		5'UTR of iolT	S222
BSU28250	leuD	biosynthesis of leucine	3-isopropylmalate dehydratase (small subunit)	leuD	SigE|stringent response|T-box|	ilvBHC-leuABCD	sigA|	TnrA|Fsra|CodY|CcpA|T-box-LEU|	TF+P+M|small regulatory RNA|TF+M|TF+PP+M|RNA switch|	-1|-1|-1|1|1|	"Glutamine| @|GTP isoleucine valine|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|tRNAleu|"	-1|nan|1 1 1|1 1|-1|	3-isopropylmalate dehydratase (small subunit)
BSU08690	ygaD	unknown	ABC transporter (fused ATP-binding and membrane protein)	ygaD									putative ABC transporter (ATP-binding protein)
new_2987548_2987649_c	S1104		5'UTR of pfkA	S1104
BSU37730	bacB	biosynthesis of the antibiotic bacilysin	oxidase	bacB|ywfC|ipa-81d	DnaA|AbrB|ScoC|		sigH|	scoC|CodY|AbrB|	TF|TF+M|TF|	-1|-1|-1|	 @|GTP isoleucine valine| @|	nan|1 1 1|nan|	isomerase component of bacilysin synthetase
BSU15110	ylbQ	biosynthesis of coenzyme A	2-dehydropantoate 2-reductase	ylbQ	SigA|			CcpA|	TF+PP+M|	NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	2-dehydropantoate 2-reductase
BSU25740	yqeB	unknown	unknown	yqeB									conserved hypothetical protein
BSU18909	yozZ	unknown	unknown	yozZ									putative phage holin (fragment)
BSU32390	yunF	unknown	unknown	yunF									conserved hypothetical protein
BSU32270	yutH	protection of the spore	spore coat protein	yutH			sigE|sigF|	SpoIIID|	TF|	-1|	nan|	nan|	spore coat-associated protein
new_2333212_2333323_c	S840		intergenic region	S840
BSU33200	yvrE	survival of salt stress	glucoco-lactonase	yvrE	SigB|	yvrE	sigB|						conserved hypothetical protein
BSU33270	yvrO	unknown	[SW|ABC transporter ](ATP-binding protein)	yvrO	AbrB|	yvrPON		ComK|AbrB|	TF|TF|	1|-1|	 @| @|	nan|nan|	putative ABC transporter (ATP-binding protein)
BSU21930	cspD	RNA chaperone	cold shock protein	cspD				CcpA|	TF+PP+M|	NaN|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	"cold-shock protein, molecular chaperone, RNA-helicase co-factor"
BSU01810	adaA	adaptive response to alkylative DNA damage	trigger enzyme	adaA	SigA|	adaAB	sigA|	AdaA|	TF+S|	1|	Methylating::stress|	1|	methylphosphotriester-DNA alkyltransferase and transcriptional regulator (AraC/XylS family)
BSU22150	ypvA	unknown	unknown	ypvA									putative ATP-dependent helicase
new_2795736_2795840_c	S1037		5'UTR of yrrM	S1037
new_1253253_1253384	S424		intergenic region	S424
BSU08400	yfiU	unknown	unknown	yfiU									putative efflux transporter
new_2169677_2170029_c	S770	The antisense RNA of rtpA	intergenic region	S770
BSU19410	cwlS	cell separation	"D,L-endopeptidase, peptidoglycan hydrolase"	cwlS|yojL	SigW|AbrB|		sigH|sigD|	CcpA|AbrB|Abh|	TF+PP+M|TF|TF|	-1|-1|-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @| @|"	1 1|nan|nan|	"peptidoglycan hydrolase (cell wall-binding d,l-endopeptidase)"
BSU33190	yvrD	unknown	unknown	yvrD									putative oxidoreductase
BSU11200	argJ	biosynthesis of arginine	N-acetylglutamate synthase	argJ|argA|argE	YlxR|	argCJBD-carAB-argF	sigA|	AhrC|AbrB|TnrA|	TF+M|TF|TF+P+M|	-1|1|NaN|	arginine| @|Glutamine|	1|nan|-1|	"ornithine acetyltransferase, amino-acid acetyltransferase"
BSU01000	secE	protein secretion	preprotein translocase subunit	secE	AbrB|								preprotein translocase subunit
BSU13960	ykwC	unknown	beta-hydroxyacid dehydrogenase	ykwC									putative beta-hydroxyacid dehydrogenase
new_2586704_2586996_c	S937	The antisense RNA of S97	5'UTR of yqgC	S937
BSU30090	yteU	unknown	unknown	yteU				*RmgR*|	silico-TF+M|	NaN|	unk|	1|	putative membrane enzyme for rhamnogalaturonan degradation
new_2571798_2571906_c	S933		intergenic region	S933
BSU18740	yozG	unknown	unknown	yozG									putative transcriptional regulator
new_1907334_1907493	S650		5'UTR of yndD	S650
BSU28270	leuB	biosynthesis of leucine	3-isopropylmalate dehydrogenase	leuB|leuC	CcpA|AbrB|T-box|	ilvBHC-leuABCD	sigA|	TnrA|CodY|CcpA|T-box-LEU|	TF+P+M|TF+M|TF+PP+M|RNA switch|	-1|-1|1|1|	"Glutamine|GTP isoleucine valine|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|tRNAleu|"	-1|1 1 1|1 1|-1|	3-isopropylmalate dehydrogenase
BSU31510	yufK	unknown	unknown	yufK									putative integral inner membrane protein
BSU31500	yuxK	unknown	unknown	yuxK|yugD	SigA|	pbpD-yuxK	sigA|	CodY|	TF+M|	NaN|	GTP isoleucine valine|	1 1 1|	conserved hypothetical protein
BSU04470	dctP	"uptake of succinate, fumurate, malate and oxaloacetate"	C4-dicarboxylate transport protein	dctP|ydbH|dctA	Fur|	dctSRP	sigA|	Fsra|CcpA|DctR|	small regulatory RNA|TF+PP+M|TF-TC|	-1|-1|1|	"@|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|Succinate::extracellular Fumarate::extracellular|"	nan|1 1|1 1|	C4-dicarboxylate transport protein
new_2491949_2492028_c	S909		intergenic region	S909
new_3717098_3717211_c	S1387		5'UTR of cotH	S1387
new_2273724_2273988_c	S810	protection of the cell	antitoxin RNA	SR4|SR4|S810
new_2456890_2457210_c	S894	The antisense RNA of ycbU	intergenic region	S894
new_3059402_3059490_c	S1145		5'UTR of ytnP	S1145
new_3222530_3223451	S1197	The antisense RNA of lmrA	independent transcript	S1197
new_3918332_3918517_c	S1472		5'UTR of qoxA	S1472
BSU38480	ywaC	ppGpp synthesis independent from stringent response	(p)ppGpp synthetase	sasA|ywaC|relP|ipa-7d		ywaC	sigW|sigM|						(p)ppGpp synthetase
new_154838_155119	S59		5'UTR of ybaJ	S59
new_2093013_2093780	S733	The antisense RNA of yczC	independent transcript	S733
BSU34200	sigL	"utilization of arginin, acetoin and fructose, required for cold adaptation"	RNA polymerase sigma-54 factor (sigma-L)	sigL	CcpA|	sigL		CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	RNA polymerase sigma-54 factor (sigma-L)
new_3849617_3849712_c	S1452		5'UTR of speE	S1452
BSU23900	yqjF	unknown	unknown	yqjF									conserved hypothetical protein
BSU39330	abnB	arabinan degradation	"endo-1,5-alpha-L-arabinosidase"	abn2|yxiA			sigH|	CcpA|	TF+PP+M|	-1|	"D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1 1|	"arabinan endo-1,5-alpha-L-arabinosidase"
new_2740238_2740411	S1007		intergenic region	S1007
BSU09940	yhaL	[[category|SW 4.2]]	unknown	yhaL	SigE|		sigE|						sporulation factor
